A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,Y
13,12,0.70711,14,9,3.5355,8,8,0,8,8,0,16,6,7.0711,16,6,7.0711,15,1,9.8995,13,15,1.4142,7.1053,5,3.1887,10.321,9.3377,19.675,13.032,20.484,28.938,21.938,28.938,21.938,27.014,11.072,23.311,6.6885,V2
15,8,4.9497,1,1,0,1,1,0,1,1,0,5,6,0.70711,5,6,0.70711,1,0,0.70711,2,0,1.4142,8.8182,4.3636,1.3333,1.6667,9.5833,24.042,10.615,27.846,29.793,22.069,29.793,22.069,24.5,13.571,18.083,9.4167,V3
8,8,0,12,11,0.70711,2,14,8.4853,3,16,9.1924,11,11,0,11,11,0,15,6,6.364,13,14,0.70711,12.517,9.6034,6.3761,12.034,10.583,21.25,12.255,24.716,25.606,19.991,25.606,19.991,27.213,11.337,21.301,7.1262,V4
2,2,0,4,1,2.1213,6,6,0,13,12,0.70711,8,8,0,8,8,0,3,7,2.8284,13,2,7.7782,12.056,5.2778,4.8537,12.122,9.5588,20.755,9.6667,25.457,26.5,21.324,26.5,21.324,30.395,10.737,22.047,2.4884,V5
3,3,0,0,0,0,11,2,6.364,2,2,0,2,2,0,2,2,0,3,4,0.70711,2,2,0,13.345,2.931,0,0,9.3846,18.865,14.429,19.643,28.86,21.349,28.86,21.349,28.487,11.487,20.476,4.6429,V6
11,13,1.4142,15,7,5.6569,2,14,8.4853,6,16,7.0711,10,10,0,10,10,0,0,0,0,0,15,10.607,10.921,6.5658,5.0308,10.769,11.352,22.324,11.812,25.53,27.063,22.683,27.063,22.683,0,0,16,16,V7
13,9,2.8284,14,12,1.4142,1,8,4.9497,2,9,4.9497,0,0,0,0,0,0,5,4,0.70711,5,6,0.70711,10.522,6.2333,6.5135,8.2432,14.133,23.467,14.291,25.127,0,0,0,0,27.935,8.7174,21.068,6.1525,V8
3,3,0,8,15,4.9497,1,3,1.4142,1,3,1.4142,9,8,0.70711,9,8,0.70711,10,3,4.9497,0,0,0,3,2,4.1594,9.5217,10.784,22.5,12.878,25.512,26.512,20.893,26.512,20.893,27.6,14.1,0,0,V9
5,5,0,2,2,0,0,7,4.9497,6,7,0.70711,3,3,0,3,3,0,5,5,0,12,5,4.9497,12,6.1324,6.3944,12.113,9.8559,22.396,11.51,27.01,28.273,20.924,28.273,20.924,28.656,11.172,21.241,4.4023,V0
14,13,0.70711,8,14,4.2426,2,14,8.4853,4,16,8.4853,10,9,0.70711,10,9,0.70711,15,2,9.1924,10,11,0.70711,6.6667,4.2667,4.2708,9.8542,12.677,21.215,13.704,23.796,27.543,20.857,27.543,20.857,28.621,10.828,20.583,9.375,V1
12,13,0.70711,6,9,2.1213,8,4,2.8284,4,4,0,11,5,4.2426,11,5,4.2426,15,9,4.2426,1,1,0,8.575,3.425,3.9851,10.851,9.8393,17.875,14.571,18.571,24.241,19.352,24.241,19.352,25.43,11.616,16.5,15.5,V2
14,14,0,8,13,3.5355,1,15,9.8995,1,15,9.8995,12,12,0,12,12,0,2,3,0.70711,9,9,0,9.8431,2.7059,6.0667,9.2667,12.045,21.865,12.924,24.101,28.651,21.442,28.651,21.442,28.219,12.031,19.971,5.5294,V3
11,11,0,15,7,5.6569,3,13,7.0711,8,16,5.6569,10,9,0.70711,10,9,0.70711,15,7,5.6569,13,14,0.70711,11.778,8.2963,5.3678,11.264,10.172,21.267,11.379,25.291,25.202,19.529,25.202,19.529,26.989,11.5,21.591,7.2473,V4
2,2,0,3,1,2.8284,6,8,1.4142,9,8,0.70711,8,7,0.70711,8,7,0.70711,3,4,0.70711,3,3,0,10.886,3.5,3.4091,10.386,10.095,21.635,11.939,23,26.183,21.217,26.183,21.217,29.5,10.528,21.646,3.0208,V5
15,15,0,4,15,7.7782,12,4,5.6569,4,4,0,11,11,0,11,11,0,15,3,8.4853,11,11,0,9.3667,2.95,7.0357,11.143,9.7761,18.03,14.667,18.667,25.743,20.257,25.743,20.257,27.879,11.591,20.9,5.4,V6
9,8,0.70711,10,4,4.2426,1,5,2.8284,3,5,1.4142,4,4,0,4,4,0,0,0,0,1,11,7.0711,12.595,6.2024,6.1607,12.321,9.781,21.762,11.26,26.481,29.875,28.563,29.875,28.563,0,0,16.391,7.3043,V7
14,9,3.5355,11,11,0,0,5,3.5355,1,8,4.9497,0,0,0,0,0,0,7,8,0.70711,9,8,0.70711,10.5,4.6771,7.1613,9.2581,11.4,22.075,11.8,26.114,0,0,0,0,27.463,10.522,20.887,5.0282,V8
13,7,4.2426,4,6,1.4142,1,3,1.4142,3,3,0,10,11,0.70711,10,11,0.70711,15,6,6.364,6,5,0.70711,9.0625,6.0625,2.7045,10.568,8.451,22.882,11.512,27.659,25.765,19.412,25.765,19.412,25.949,13.661,18.074,11.852,V9
5,5,0,2,2,0,0,8,5.6569,8,8,0,5,5,0,5,5,0,5,6,0.70711,13,9,2.8284,12.952,7.9048,7.0541,12.743,9.72,22.667,10.802,28.177,26.967,20.817,26.967,20.817,29.06,10.373,21,5.802,V0
6,7,0.70711,7,6,0.70711,1,4,2.1213,1,4,2.1213,10,9,0.70711,10,9,0.70711,14,5,6.364,6,6,0,5.6452,3.8387,3.137,9.2877,8.8545,23.309,11.711,27.4,26.143,19.73,26.143,19.73,26.684,11.734,23.077,8.3077,V1
11,10,0.70711,8,10,1.4142,7,2,3.5355,0,0,0,10,3,4.9497,10,3,4.9497,7,15,5.6569,15,15,0,10.833,8.25,6.0361,11.723,9.6364,16.5,16,16,24.9,19.733,24.9,19.733,26.714,9.381,22.643,7.9821,V2
14,6,5.6569,7,14,4.9497,0,15,10.607,4,15,7.7782,2,2,0,2,2,0,4,4,0,3,3,0,10.177,3,10.143,14,10.793,21.36,11.245,26.186,28.815,21.046,28.815,21.046,27.944,11.519,20.18,5.56,V3
13,13,0,4,10,4.2426,6,10,2.8284,10,16,4.2426,10,10,0,10,10,0,15,9,4.2426,13,14,0.70711,12.25,9.9167,6.4588,11.988,9.25,19.683,9.4935,25,25.597,20.21,25.597,20.21,29.245,10.509,21.46,7.03,V4
12,13,0.70711,6,11,3.5355,8,8,0,7,14,4.9497,12,6,4.2426,12,6,4.2426,15,4,7.7782,11,11,0,10.677,4.5077,5.6296,11.519,7.5,18.531,8.2778,26.167,25.882,19.485,25.882,19.485,26.167,12.682,20.273,6.2364,V5
15,14,0.70711,14,15,0.70711,0,14,9.8995,0,14,9.8995,12,12,0,12,12,0,15,1,9.8995,9,10,0.70711,9.1071,3.25,4.25,5.1667,10.984,19.855,14.538,20.423,27.143,20.974,27.143,20.974,27.367,12.388,20.086,6.3429,V6
8,2,4.2426,10,4,4.2426,3,3,0,8,6,1.4142,8,5,2.1213,8,5,2.1213,0,0,0,0,0,0,7.9333,3.8,3.7419,9.2581,10.871,23.452,10.238,27.214,28.182,25.727,28.182,25.727,0,0,0,0,V7
13,12,0.70711,14,9,3.5355,1,9,5.6569,4,11,4.9497,5,0,3.5355,5,0,3.5355,11,8,2.1213,10,9,0.70711,11.072,7.4337,6.7556,8.8444,13.298,22.915,13,25.353,23.5,16,23.5,16,27.104,11.627,19.711,7.8222,V8
0,0,0,9,8,0.70711,1,5,2.8284,1,5,2.8284,10,11,0.70711,10,11,0.70711,14,12,1.4142,12,13,0.70711,0,0,5.3333,11.641,12.212,22.269,13.706,24.5,25.968,21.871,25.968,21.871,26.667,7.4815,22.579,6.1974,V9
7,8,0.70711,4,1,2.1213,1,3,1.4142,5,4,0.70711,2,2,0,2,2,0,4,9,3.5355,13,2,7.7782,12.017,6.069,7.141,12.436,8.069,22.414,10.288,29.346,27.902,20.293,27.902,20.293,30.111,10.167,22.073,2.6727,V0
3,3,0,13,12,0.70711,3,4,0.70711,3,4,0.70711,4,5,0.70711,4,5,0.70711,15,8,4.9497,9,9,0,7.3429,2.5714,6.25,10.393,12.4,18,14.706,19.294,23.145,17.891,23.145,17.891,26.741,11.741,21.611,8.8611,V1
14,14,0,7,14,4.9497,7,3,2.8284,0,0,0,16,11,3.5355,16,11,3.5355,3,1,1.4142,8,9,0.70711,10.316,8.5789,4.9667,10.667,9.8214,16.964,16,16,28.821,23.036,28.821,23.036,25.276,12.828,19.75,8.825,V2
10,8,1.4142,0,0,0,0,2,1.4142,0,2,1.4142,10,10,0,10,10,0,5,0,3.5355,2,2,0,11.776,4.2245,0,0,10.816,22.483,11.481,25.642,28.141,21.887,28.141,21.887,23.16,14.28,18,9.4815,V3
11,7,2.8284,14,8,4.2426,5,11,4.2426,10,16,4.2426,12,12,0,12,12,0,15,10,3.5355,13,13,0,12.031,6.1134,5.1087,11.13,9.9245,20.528,10.505,24.796,25.769,20.644,25.769,20.644,27,10.815,20.568,7.6105,V4
10,10,0,5,8,2.1213,2,9,4.9497,2,4,1.4142,6,6,0,6,6,0,7,3,2.8284,11,9,1.4142,11.667,5.5741,5.5224,11.701,8.35,19.483,10.857,23,29,20.783,29,20.783,27.191,12.426,20.364,5.8182,V5
15,10,3.5355,5,5,0,3,10,4.9497,5,10,3.5355,11,11,0,11,11,0,6,1,3.5355,3,4,0.70711,9.7412,5.2588,2.7059,3.9412,12.172,23.293,11.691,24.279,27.019,22.107,27.019,22.107,23.667,13.944,18.658,9.1842,V6
8,8,0,10,4,4.2426,7,4,2.1213,8,8,0,11,9,1.4142,11,9,1.4142,0,0,0,0,0,0,7.3103,3.8966,4.359,10.692,9.0476,20.857,11.6,23.571,27.029,23.971,27.029,23.971,0,0,0,0,V7
14,14,0,15,14,0.70711,6,10,2.8284,8,16,5.6569,6,6,0,6,6,0,6,3,2.1213,7,8,0.70711,10.123,6.8889,7.5,9.5429,12.109,20.156,11.464,23.357,25.694,18.898,25.694,18.898,28.113,12.151,19,9.8929,V8
0,0,0,1,1,0,1,4,2.1213,2,4,1.4142,10,12,1.4142,10,12,1.4142,10,12,1.4142,10,10,0,0,0,4.2143,15.214,9.0159,23,11.63,27.5,26.68,21.2,26.68,21.2,23.724,11.172,23.052,5.4483,V9
3,3,0,6,6,0,0,5,3.5355,5,5,0,2,2,0,2,2,0,3,8,3.5355,12,2,7.0711,11.264,4.6038,3.9123,11.474,8.7429,22.186,11.288,28.212,28.15,20.525,28.15,20.525,29.849,10.226,21.328,3.5,V0
13,8,3.5355,14,13,0.70711,0,7,4.9497,0,7,4.9497,6,6,0,6,6,0,15,5,7.0711,10,10,0,10.294,6.6471,6.2025,10.19,12.717,18.587,14.625,19.75,24.396,18.736,24.396,18.736,28.052,11.69,19.621,9.1364,V1
14,13,0.70711,12,15,2.1213,9,3,4.2426,0,0,0,8,8,0,8,8,0,4,0,2.8284,7,5,1.4142,9.1667,7.7143,7.5,10.776,8,17.138,0,0,29.241,22.414,29.241,22.414,24.25,13.464,19.317,7.2,V2
6,3,2.1213,0,0,0,1,3,1.4142,5,3,1.4142,7,7,0,7,7,0,4,1,2.1213,3,3,0,13.559,3.4412,0,0,10.928,23.797,10.735,26.663,29.47,22.348,29.47,22.348,25.361,12.917,19.091,6.4091,V3
11,10,0.70711,5,5,0,10,6,2.8284,0,3,2.1213,13,13,0,13,13,0,13,4,6.364,11,13,1.4142,11.536,7.7619,6.4713,12.218,8.0857,18,15.8,17.4,27.468,21.584,27.468,21.584,27.279,11.279,20.461,6.7753,V4
11,11,0,15,3,8.4853,4,12,5.6569,10,12,1.4142,12,8,2.8284,12,8,2.8284,15,7,5.6569,10,10,0,10.632,4.0526,4.5484,11.339,9.5165,20.615,11.238,23.603,25.011,19.387,25.011,19.387,27.485,12.485,20.114,4.2727,V5
2,2,0,3,2,0.70711,1,3,1.4142,9,4,3.5355,1,1,0,1,1,0,2,1,0.70711,2,2,0,14.917,2.3333,5.5333,15.067,11.418,21.937,11.471,27.129,29.75,21.5,29.75,21.5,27.515,12,20.029,4.9429,V6
8,7,0.70711,2,2,0,3,4,0.70711,10,4,4.2426,5,5,0,5,5,0,0,0,0,0,0,0,11.391,5.7971,6.717,11.925,9.507,21.803,10.679,27.208,29.385,28.615,29.385,28.615,0,0,0,0,V7
14,12,1.4142,15,13,1.4142,3,13,7.0711,4,16,8.4853,4,4,0,4,4,0,15,9,4.2426,11,11,0,10.516,7.2747,6.6346,8.6346,13.279,21.209,13.2,23.925,21.583,17.556,21.583,17.556,27.302,10.746,20,7.9245,V8
0,6,4.2426,13,0,9.1924,0,3,2.1213,0,3,2.1213,10,10,0,10,10,0,14,0,9.8995,10,12,1.4142,16,12,5.5,16,9.1061,20.606,13.304,24,26.143,18.929,26.143,18.929,25.941,12.265,20.917,6.8333,V9
3,3,0,9,4,3.5355,1,5,2.8284,5,6,0.70711,2,2,0,2,2,0,8,8,0,3,4,0.70711,12.073,4.9091,6.1538,12.058,11.182,24.576,11.177,28.742,24.486,19,24.486,19,28.452,10.371,21.386,3.6429,V0
15,15,0,13,15,1.4142,0,5,3.5355,0,5,3.5355,6,6,0,6,6,0,15,0,10.607,6,6,0,9.2973,7.5946,7.1209,10.374,13.233,17.567,15.154,18.538,25.288,19,25.288,19,25.788,13.385,18,12,V1
0,11,7.7782,2,1,2.1213,5,4,0.70711,13,6,4.9497,13,7,4.2426,13,7,4.2426,9,0,6.364,6,6,0,16,6,6.2308,15.385,9.375,21.375,10.294,26.706,27.778,21.089,27.778,21.089,23.818,13.485,20.077,5.6923,V2
2,2,0,3,0,2.1213,0,12,8.4853,0,12,8.4853,3,3,0,3,3,0,3,0,2.1213,2,2,0,10.019,2.6731,2.56,6.64,14.255,24.2,14.255,24.2,29.54,21.72,29.54,21.72,28.2,11.575,20.646,4.2083,V3
12,4,5.6569,15,5,7.0711,3,13,7.0711,8,16,5.6569,13,11,1.4142,13,11,1.4142,13,2,7.7782,5,5,0,11.536,5.4783,3.8649,10.622,12.764,21.345,11.32,25.52,27.841,21.432,27.841,21.432,24.652,12.957,17.32,11.8,V4
2,2,0,5,5,0,6,6,0,13,12,0.70711,10,9,0.70711,10,9,0.70711,3,3,0,2,2,0,11.283,4.2075,3.8545,11.273,8.9275,20.971,8.9759,26.578,27.631,22.321,27.631,22.321,28.667,11.071,21.096,3.1154,V5
15,8,4.9497,6,6,0,0,7,4.9497,0,7,4.9497,7,7,0,7,7,0,4,1,2.1213,4,2,1.4142,9.5789,5.3158,3.1429,4.4286,11.055,22.055,12.227,24.318,28.266,21.172,28.266,21.172,26.952,12.405,19.556,7.6944,V6
10,9,0.70711,1,1,0,0,16,11.314,8,16,5.6569,14,14,0,14,14,0,1,1,0,3,12,6.364,11.603,5.0862,5.8298,11.745,11.137,22.3,10.982,26.342,28.56,26.36,28.56,26.36,17.5,15.5,17.475,7.9,V7
14,12,1.4142,15,14,0.70711,1,15,9.8995,2,16,9.8995,6,6,0,6,6,0,15,8,4.9497,11,11,0,10.698,6.2586,5.8824,8,14.533,23.017,14.552,24.224,23.511,18.444,23.511,18.444,28.254,10.776,19.949,7.9831,V8
3,3,0,4,6,1.4142,3,8,3.5355,13,11,1.4142,1,1,0,1,1,0,9,15,4.2426,0,0,0,11.346,5.4231,10.083,12.625,13.604,22.542,9.9063,27.458,22.471,18.353,22.471,18.353,27.057,9.8571,31,1,V9
8,8,0,6,2,2.8284,1,5,2.8284,10,6,2.8284,2,2,0,2,2,0,7,6,0.70711,11,5,4.2426,12.617,7.35,6.3457,12.321,9.3111,21.122,10.291,28.047,24.872,19.308,24.872,19.308,28.031,10.892,20.592,5.5,V0
1,1,0,15,10,3.5355,1,11,7.0711,1,11,7.0711,13,12,0.70711,13,12,0.70711,15,3,8.4853,12,13,0.70711,15.833,14.167,4.9828,11.845,12.338,20.324,14.273,21.841,28.288,21.254,28.288,21.254,28.127,11.055,21.304,7.1392,V1
0,14,9.8995,1,1,0,7,5,1.4142,9,5,2.8284,13,5,5.6569,13,5,5.6569,9,0,6.364,5,6,0.70711,16,3.5,5.72,12.92,9.9259,21.481,12.136,23.227,27.863,20.902,27.863,20.902,24.205,12.886,20.161,4.9677,V2
3,3,0,3,0,2.1213,0,13,9.1924,1,13,8.4853,2,2,0,2,2,0,4,4,0,3,3,0,9.6897,2.8966,2.6923,6.6154,12.317,23.287,12.9,25.267,28.93,21.246,28.93,21.246,28.768,11.339,21.148,3.7778,V3
11,11,0,9,3,4.2426,6,10,2.8284,12,16,2.8284,12,12,0,12,12,0,4,1,2.1213,10,11,0.70711,11.802,7.6042,7.0732,11.902,10.292,19.792,9.8415,25.037,27.492,21,27.492,21,28.352,11.315,20.236,5.7639,V4
4,4,0,4,2,1.4142,3,12,6.364,11,15,2.8284,15,11,2.8284,15,11,2.8284,14,1,9.1924,1,4,2.1213,11.9,5.46,5.3462,11.904,10.567,21.597,10.384,26.253,27.171,21.222,27.171,21.222,26.052,12.914,20.961,3.2941,V5
14,7,4.9497,6,6,0,0,10,7.0711,0,10,7.0711,2,2,0,2,2,0,3,2,0.70711,2,2,0,9.4255,5.2553,3.2083,4.7083,11.71,22.435,13.467,23.444,28.717,21.208,28.717,21.208,27.262,12.262,19.276,7.5172,V6
7,8,0.70711,9,2,4.9497,2,3,0.70711,11,5,4.2426,7,4,2.1213,7,4,2.1213,0,0,0,0,0,0,8.881,4.7857,5.2167,11.9,8.4545,20.691,9.3871,29.565,28.429,25.536,28.429,25.536,0,0,0,0,V7
11,11,0,13,10,2.1213,2,12,7.0711,3,14,7.7782,0,0,0,0,0,0,8,6,1.4142,10,8,1.4142,11.589,5.6,7.7188,9.6563,12.175,21.175,12,25,0,0,0,0,28.839,6.0968,21.031,4.5938,V8
5,5,0,5,5,0,0,9,6.364,14,12,1.4142,2,2,0,2,2,0,12,15,2.1213,3,3,0,12.558,8.9767,10.833,13.267,12.926,22.632,10.237,26.495,20.722,17.722,20.722,17.722,25.694,9.9592,29.6,2.2,V9
7,7,0,8,5,2.1213,0,6,4.2426,4,6,1.4142,3,3,0,3,3,0,4,6,1.4142,12,4,5.6569,10.375,4.375,3.3973,9.2329,9.5849,24.019,11.609,28.188,27.149,20.17,27.149,20.17,29.061,10.53,20.988,4.4884,V0
14,13,0.70711,15,13,1.4142,0,16,11.314,4,16,8.4853,10,9,0.70711,10,9,0.70711,15,5,7.0711,9,9,0,8.8627,6.4902,4.321,10.049,11,22.008,12.969,25.198,26.268,20.071,26.268,20.071,26.338,12.091,19.409,10.523,V1
3,3,0,4,13,6.364,5,5,0,8,6,1.4142,11,7,2.8284,11,7,2.8284,7,8,0.70711,0,0,0,2.8889,2.1111,2.7736,9.0377,9.3333,22.178,11.35,25.475,27.7,20.957,27.7,20.957,26.163,12.633,0,0,V2
3,3,0,3,1,1.4142,0,12,8.4853,0,12,8.4853,9,6,2.1213,9,6,2.1213,3,4,0.70711,3,3,0,10.14,3.1579,3.1071,7.5,14.192,23.788,14.192,23.788,28.778,21.259,28.778,21.259,28.98,11.059,21.463,3.4074,V3
12,10,1.4142,8,9,0.70711,7,9,1.4142,13,16,2.1213,10,10,0,10,10,0,15,8,4.9497,13,13,0,11.512,7.6395,5.8021,11.76,9.0253,18.962,7.7778,26.037,24.929,19.869,24.929,19.869,28.257,11.057,20.892,6.5699,V4
12,5,4.9497,5,11,4.2426,5,8,2.1213,3,13,7.0711,12,7,3.5355,12,7,3.5355,2,2,0,6,6,0,8.94,3.2,3.5686,8.7451,9.8197,20.902,11.681,23.979,26.887,20.935,26.887,20.935,25.773,12.818,20.214,6.5357,V5
1,1,0,2,0,1.4142,0,14,9.8995,4,14,7.0711,8,8,0,8,8,0,3,5,1.4142,1,2,0.70711,9.5526,1.8684,2,2.75,9.7705,20.164,14.464,26.679,26.053,20.632,26.053,20.632,29.611,11.389,21.645,3.0968,V6
10,10,0,15,3,8.4853,1,15,9.8995,7,16,6.364,10,9,0.70711,10,9,0.70711,1,1,0,2,8,4.2426,11.431,4.0588,4.2368,11.026,12.115,23.679,11.626,26.729,25.688,22.094,25.688,22.094,17.667,15.667,17,8.7778,V7
14,9,3.5355,15,13,1.4142,2,14,8.4853,5,16,7.7782,0,0,0,0,0,0,9,12,2.1213,14,15,0.70711,10.756,6.3444,5.6552,7.1724,14.02,22.804,13.567,24.65,21,16,21,16,26.211,10.342,20.764,6.5618,V8
4,4,0,3,3,0,4,6,1.4142,14,10,2.8284,1,1,0,1,1,0,8,15,4.9497,0,0,0,11.342,7.5526,9.5833,12.542,12.511,22.733,9.2125,27.387,22.625,18.5,22.625,18.5,27.962,9.3462,0,0,V9
3,3,0,3,1,1.4142,0,3,2.1213,3,3,0,2,2,0,2,2,0,3,7,2.8284,2,2,0,11.571,5,5.4231,12.096,8.0333,22.35,11.035,28.14,29.024,20.952,29.024,20.952,30,10.477,21.592,2.8367,V0
8,9,0.70711,12,14,1.4142,0,11,7.7782,0,11,7.7782,10,10,0,10,10,0,15,7,5.6569,11,12,0.70711,5.5455,4.6818,6.2791,9.7209,13.419,20.548,14.419,22,25.761,20.03,25.761,20.03,27.461,11.013,21.797,7.9661,V1
0,0,0,2,1,2.1213,6,3,2.1213,9,3,4.2426,8,8,0,8,8,0,5,12,4.9497,8,9,0.70711,0,0,5,15.7,8.7778,21.222,11.423,24.615,27.698,20.429,27.698,20.429,26.226,11.434,21.246,5.0175,V2
13,13,0,13,12,0.70711,1,13,8.4853,1,13,8.4853,12,12,0,12,12,0,14,3,7.7782,10,11,0.70711,10.843,3.0588,4.8667,6.8,13.845,22.103,13.922,22.765,27.629,21.143,27.629,21.143,28.029,11.147,20.333,3.8125,V3
11,11,0,5,1,2.8284,6,10,2.8284,9,16,4.9497,12,12,0,12,12,0,14,2,8.4853,9,9,0,12.284,6.5909,6.6143,12.343,8.7879,19.273,10.167,24.479,26.192,20.628,26.192,20.628,25.369,12.446,18.672,9.4262,V4
12,12,0,7,1,4.2426,1,15,9.8995,3,16,9.1924,11,11,0,11,11,0,3,6,2.1213,11,11,0,9.9455,3.5636,6.2727,12.17,9.3729,19.237,14.577,26.115,27.313,20.833,27.313,20.833,29.489,11.222,21.186,3.7442,V5
12,2,7.0711,0,0,0,1,12,7.7782,4,13,6.364,7,7,0,7,7,0,2,0,1.4142,1,1,0,9.6087,1.6957,0,0,10.949,21.436,14.273,25.955,28.872,21.128,28.872,21.128,27.96,12.12,20.652,5.0435,V6
11,11,0,12,5,4.9497,0,16,11.314,3,16,9.1924,15,15,0,15,15,0,0,0,0,1,10,6.364,11.756,6.378,5.2333,10.983,11.067,22.422,11.32,26.107,28.115,26.577,28.115,26.577,17,16,16.435,10.217,V7
14,14,0,12,14,1.4142,1,12,7.7782,1,12,7.7782,1,0,0.70711,1,0,0.70711,15,9,4.2426,11,10,0.70711,9.8906,6.0938,8.75,10.625,11.158,21.263,11.125,25.875,18,16,18,16,25.604,10.771,20.2,7.4667,V8
6,6,0,6,6,0,0,16,11.314,3,16,9.1924,12,11,0.70711,12,11,0.70711,15,2,9.1924,6,14,5.6569,13.581,8.0465,12.364,13.636,13.909,24.273,10.263,29.237,27.714,20.524,27.714,20.524,25.516,13.891,18.8,6.3636,V9
3,3,0,5,3,1.4142,1,3,1.4142,4,3,0.70711,2,2,0,2,2,0,5,10,3.5355,13,3,7.0711,11.947,5.1228,5.7077,12.8,8.6588,21.035,10.86,27.807,26.556,19.833,26.556,19.833,29.482,9.8929,22.14,2.6316,V0
7,7,0,11,10,0.70711,0,4,2.8284,0,4,2.8284,5,10,3.5355,5,10,3.5355,9,2,4.9497,0,0,0,6.7353,4.1765,6.0357,9.6964,13.343,20.714,14.348,22.522,27.109,20.391,27.109,20.391,27.056,12.87,0,0,V1
11,11,0,13,9,2.8284,1,0,0.70711,0,0,0,5,6,0.70711,5,6,0.70711,4,5,0.70711,11,12,0.70711,11,9.5455,6.5,10.209,14.5,16,0,0,29.644,22.237,29.644,22.237,27.915,11.288,21.369,7.381,V2
11,5,4.2426,2,2,0,1,11,7.0711,1,11,7.0711,12,12,0,12,12,0,2,2,0,2,2,0,9.4815,3.1852,1.75,2,13.851,24.511,13.851,24.511,28.477,21.136,28.477,21.136,27,12.485,19.656,6.6563,V3
11,6,3.5355,12,4,5.6569,5,10,3.5355,7,11,2.8284,12,11,0.70711,12,11,0.70711,15,5,7.0711,10,10,0,11.657,6.2286,4.1707,10.659,10.244,21.537,11.222,24.022,25.348,20.739,25.348,20.739,27.66,10.86,20.211,7.9296,V4
